,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
37,"Donald TRUMP ACLARA conceptos al MUNDO, ""en EEUU hay 93 millones de DESEMPLEADOS y 43 millones en POBREZA EXTREMA"", a la JAIBA, pobre PAIS pic.twitter.com/F2OF7yPg49",2017-03-04 15:58:50,10,47,838176944353050629,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0772894455838,0.0685520093561
38,SCANDAL OF THE CENTURY! Donald Trump Just Exposed Obama for HORRIBLE Crime! HERE IS THE PROOF!! https://libertywritersnews.com/?p=23861  via @liberty_writers,2017-03-04 15:58:48,0,0,838176934064377856,"{'neg': 0.48, 'neu': 0.52, 'pos': 0.0, 'compound': -0.9304}",0.0772894455838,0.0685520093561
39,Donald #Trump isn’t the only villain – the #RepublicanParty shares the blamehttps://www.theguardian.com/commentisfree/2017/mar/03/donald-trump-villain-republican-party-blame-russia?CMP=Share_AndroidApp_Tweet …,2017-03-04 15:58:46,1,1,838176926191644672,"{'neg': 0.0, 'neu': 0.637, 'pos': 0.363, 'compound': 0.6278}",0.0772894455838,0.0685520093561
40,@Donald_Trump_0 Of course they did. They wouldn't recognize the truth if it was set in front of them! Blind and stupid!,2017-03-04 15:58:46,0,0,838176924514009088,"{'neg': 0.324, 'neu': 0.676, 'pos': 0.0, 'compound': -0.8246}",0.0772894455838,0.0685520093561
41,They just READ Donald Trump for filth!! #ALLTNOSHADEhttp://www.newyorker.com/magazine/2017/02/27/holding-trump-accountable …,2017-03-04 15:58:37,0,0,838176890540154885,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0772894455838,0.0685520093561
42,Sources: Donald Trump Listened In On Phone Lines At Mar-A-Lago #fakedonaldtrump evil twin @realDonaldTrump PARANOIDhttps://www.buzzfeed.com/aramroston/sources-donald-trump-listened-in-on-phone-lines-at-mar-a-lag?utm_term=.evg4pP588B#.evg4pP588B …,2017-03-04 15:58:37,0,0,838176890502299648,"{'neg': 0.239, 'neu': 0.761, 'pos': 0.0, 'compound': -0.6597}",0.0772894455838,0.0685520093561
43,"In an unsettling world, my column on how to talk to your adult about Donald Trump: http://www.macleans.ca/politics/washington/a-childrens-guide-to-parenting-in-the-world-of-trump/ …",2017-03-04 15:58:37,16,13,838176890116521984,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0772894455838,0.0685520093561
44,Espero que Donald Trump las deporte JAJAJAJAJAJAJJA https://twitter.com/ceciicass/status/838173288060829697 …,2017-03-04 15:58:35,3,2,838176881623060480,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0772894455838,0.0685520093561
45,"VIDEO: Scuffles, Fistfights Rrupt as PRO and Anti-Trump Rallies Clash in Berkeley http://dailywesterner.com/news/2017-03-04/video-scuffles-fistfights-rrupt-as-pro-and-anti-trump-rallies-clash-in-berkeley/ … #berkeley #donaldtrump #riot",2017-03-04 15:58:33,0,0,838176870382383106,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0772894455838,0.0685520093561
46,Donald Trump é muito chato pqp,2017-03-04 15:58:32,1,0,838176869459558403,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0772894455838,0.0685520093561
