,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
28,28,28,28,28,28,28,28,28,28,28,Sam Adonis responds to Brian Cage over the Donald Trump controversy @SamElias89 @MrGMSI_BCage http://on.si.com/2muoW6A pic.twitter.com/bhaOaINFzy,2017-03-01 14:01:46,2,0,837060318362800128,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0667826086957,0.0898
29,29,29,29,29,29,29,29,29,29,29,"Donald Trump, Master of Low Expectations https://nyti.ms/2lzIBh7  Rooster taking credit for the sunrise.",2017-03-01 13:59:46,0,0,837059813959938049,"{'neg': 0.134, 'neu': 0.701, 'pos': 0.166, 'compound': 0.128}",0.0667826086957,0.0898
30,30,30,30,30,30,30,30,30,30,30,Donald Trump ruined all red hats. Forever.,2017-03-01 13:58:16,0,0,837059436036370433,"{'neg': 0.341, 'neu': 0.659, 'pos': 0.0, 'compound': -0.4767}",0.0667826086957,0.0898
31,31,31,31,31,31,31,31,31,31,31,Donald Trump has changed Oprah Winfrey's mind http://trib.al/BwBjw75 ,2017-03-01 13:55:55,0,0,837058847948812290,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0667826086957,0.0898
32,32,32,32,32,32,32,32,32,32,32,"Fact check: Donald Trump's claims on jobs, Obamacare, immigration and more http://fw.to/y3hfneH ",2017-03-01 13:54:05,0,0,837058383186391040,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0667826086957,0.0898
33,33,33,33,33,33,33,33,33,33,33,How long has it been since Donald Trump attacked someone on Twitter? @CNNPolitics http://cnn.it/2m9Jznl        guess babyman is growing up,2017-03-01 13:48:30,0,0,837056981865230345,"{'neg': 0.138, 'neu': 0.783, 'pos': 0.078, 'compound': -0.3182}",0.0667826086957,0.0898
34,34,34,34,34,34,34,34,34,34,34,"""A woman on NPR just said she loved Donald Trump's speech because it reminded her of ""La La Land,"" which she said... http://fb.me/70bLZazjY ",2017-03-01 13:48:11,0,0,837056899426185225,"{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.5994}",0.0667826086957,0.0898
35,35,35,35,35,35,35,35,35,35,35,"WALLACE:""I Feel Like Tonight Donald Trump Became the President of the United States"" ... http://squawkingpoints.net/wallace-trump-speech/ …",2017-03-01 13:47:08,0,0,837056637047304196,"{'neg': 0.0, 'neu': 0.71, 'pos': 0.29, 'compound': 0.6486}",0.0667826086957,0.0898
36,36,36,36,36,36,36,36,36,36,36,@Google PRESIDENT DONALD TRUMP HAS NOT SPOKE WHAT WAS HIS POINT IN SOME F.B.I. LEAK OF SOMETHING I HOPE THAT IS NOT EMPTY A TWEETER BEHAVIOR,2017-03-01 13:43:41,1,0,837055766276239367,"{'neg': 0.187, 'neu': 0.693, 'pos': 0.12, 'compound': -0.2577}",0.0667826086957,0.0898
37,37,37,37,37,37,37,37,37,37,37,Fact-checking Donald Trump's address to Congress | PolitiFact http://www.politifact.com/truth-o-meter/article/2017/feb/28/fact-checking-donald-trumps-address-congress/ …,2017-03-01 13:41:21,0,0,837055181019840513,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0667826086957,0.0898
38,38,38,38,38,38,38,38,38,38,38,"@MadelineMcDavid For instance, watching a twitch streamer from Singapore, the American teenager asks ""What do you think of Donald Trump?""",2017-03-01 13:37:23,0,0,837054181231980550,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0667826086957,0.0898
39,39,39,39,39,39,39,39,39,39,39,@Usapoliticsnew MA is #7 in heroin deaths but all POCAHONTAS blathers about is DONALD TRUMP!  ,2017-03-01 13:30:27,0,0,837052438968483840,"{'neg': 0.146, 'neu': 0.854, 'pos': 0.0, 'compound': -0.3382}",0.0667826086957,0.0898
40,40,40,40,40,40,40,40,40,40,40,Yo anyone says Donald trump is a great president is a dumb mother fucker guy is a lying abusive fuck who should get impeached #deportme,2017-03-01 13:28:54,1,1,837052045895077890,"{'neg': 0.482, 'neu': 0.412, 'pos': 0.106, 'compound': -0.9393}",0.0667826086957,0.0898
41,41,41,41,41,41,41,41,41,41,41,Donald Trump: Ratings For First Congress Speech Didn't Beat Obama's | http://Fortune.com  http://fortune.com/2017/03/01/donald-trump-address-congress-ratings/?xid=soc_socialflow_facebook_FORTUNE …,2017-03-01 13:23:38,0,0,837050722663469058,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0667826086957,0.0898
42,42,42,42,42,42,42,42,42,42,42,The two most debased moments of Donald Trump’s speech to Congress: http://www.slate.com/articles/news_and_politics/politics/2017/03/the_two_most_debased_moments_of_donald_trump_s_speech_to_congress.html?wpsrc=sh_all_dt_tw_top … via @slate,2017-03-01 13:22:44,0,0,837050494191300619,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0667826086957,0.0898
43,43,43,43,43,43,43,43,43,43,43,Do you believe anything that #DonaldTrump says?,2017-03-01 13:10:50,0,1,837047501370834944,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0667826086957,0.0898
44,44,44,44,44,44,44,44,44,44,44,"Donald Trump, Master of Low Expectations https://nyti.ms/2lzIBh7 ",2017-03-01 13:05:46,0,0,837046227363643392,"{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.2732}",0.0667826086957,0.0898
45,45,45,45,45,45,45,45,45,45,45,Barack Obama’s First Congress Address Drew Higher Ratings Than President Donald Trump #leadgenerationhttp://feedproxy.google.com/~r/B2CMarketingInsider/~3/uXuHfsr4Ljs/barack-obamas-first-congress-address-drew-higher-ratings-president-donald-trump-01790477 …,2017-03-01 13:00:07,1,0,837044802281623552,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0667826086957,0.0898
46,46,46,46,46,46,46,46,46,46,46,"""I will see Donald Trump at 12AM"" OMG https://twitter.com/goldengateblond/status/836842263779151874 …",2017-03-01 12:52:15,6,1,837042823182630914,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0667826086957,0.0898
47,47,47,47,47,47,47,47,47,47,47,"There is a counter on CNN that says ""How long has it been since Donald Trump attacked someone on Twitter?""

http://www.cnn.com/2017/03/01/politics/has-trump-tweeted-yet-trnd/index.html …",2017-03-01 12:49:25,0,2,837042111073538050,"{'neg': 0.136, 'neu': 0.864, 'pos': 0.0, 'compound': -0.4588}",0.0667826086957,0.0898
48,48,48,48,48,48,48,48,48,48,48,#Don’tBeFooled. #DonaldTrump Didn’t Pivot http://www.newyorker.com/news/john-cassidy/dont-be-fooled-donald-trump-didnt-pivot … via @JohnCassidy,2017-03-01 12:42:39,0,0,837040408970526720,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0667826086957,0.0898
49,49,49,49,49,49,49,49,49,49,49,The State of Disunion: Donald Trump’s dystopian America. http://m.tbnn.it/NWJ44R ,2017-03-01 12:36:11,0,0,837038780733280256,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0667826086957,0.0898
50,50,50,50,50,50,50,50,50,50,50,"When you fact-check Donald Trump's latest speech, you find that even the technically true parts - The Independent https://apple.news/A8CDWPkrqTfm4Tb2G6I0A_g …",2017-03-01 12:34:27,0,0,837038344563486720,"{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.4215}",0.0667826086957,0.0898
51,51,51,51,51,51,51,51,51,51,51,"@mattgaetz A WEEK ago you said ""Absolutely, Donald Trump should release his tax returns."" http://www.cnn.com/2017/02/23/politics/matt-gaetz-donald-trump-tax-returns/index.html …",2017-03-01 12:32:56,1,0,837037964739895296,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0667826086957,0.0898
52,52,52,52,52,52,52,52,52,52,52,"Dude, a WEEK ago you said ""Absolutely, Donald Trump should release his tax returns.""  http://www.cnn.com/2017/02/23/politics/matt-gaetz-donald-trump-tax-returns/index.html …https://twitter.com/mattgaetz/status/836701941543600128 …",2017-03-01 12:32:30,0,0,837037855369211905,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0667826086957,0.0898
53,53,53,53,53,53,53,53,53,53,53,@TIME at least it took a full 3 paragraphs to bring Donald Trump into it. Are you guys losing your fastball?,2017-03-01 12:26:22,22,3,837036309545893888,"{'neg': 0.126, 'neu': 0.874, 'pos': 0.0, 'compound': -0.3818}",0.0667826086957,0.0898
